Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito
8.680001,-88.054028,-0.000176,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027597,-0.000003
8.685001,-88.054029,-0.000176,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027598,-0.000003
8.690001,-88.054030,-0.000176,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027598,-0.000003
8.695001,-88.054031,-0.000175,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027598,-0.000003
8.700001,-88.054032,-0.000175,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027598,-0.000003
8.705001,-88.054032,-0.000175,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027598,-0.000003
8.710001,-88.054033,-0.000175,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027598,-0.000003
8.715001,-88.054034,-0.000175,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027599,-0.000003
8.720001,-88.054035,-0.000175,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027599,-0.000003
8.725001,-88.054036,-0.000174,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027599,-0.000003
8.730001,-88.054037,-0.000174,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027599,-0.000003
8.735001,-88.054038,-0.000174,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027599,-0.000003
8.740001,-88.054039,-0.000174,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027599,-0.000003
8.745001,-88.054039,-0.000174,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027599,-0.000003
8.750001,-88.054040,-0.000174,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027600,-0.000003
8.755001,-88.054041,-0.000174,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027600,-0.000003
8.760001,-88.054042,-0.000173,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027600,-0.000003
8.765001,-88.054043,-0.000173,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027600,-0.000003
8.770001,-88.054044,-0.000173,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027600,-0.000003
8.775001,-88.054045,-0.000173,0.000070,-0.002410,-0.000119,-0.000000,-0.000002,-0.000330,-0.027600,-0.000003
